m1 m2 m3 x1 v1 v2 T stability
0.817 0.759 1.000 -1.38170531562400e-01 2.50192314928382e+00 -1.30383613440369e+00 5.16748024351125e+00 C
0.805 0.753 1.000 -1.34614456727276e-01 2.49853304247816e+00 1.11848734317725e+00 5.22688754133047e+00 C
0.813 0.760 1.000 -1.36246378793654e-01 2.50773213246944e+00 -8.15074813105486e-01 5.22923551666573e+00 C
0.810 0.760 1.000 -1.34103117901525e-01 2.50304196295511e+00 -3.85252359928003e-01 5.20720417376558e+00 C
0.815 0.753 1.000 -1.35600320104329e-01 2.51502848672625e+00 -1.31272564330955e+00 5.23707421837279e+00 C
0.805 0.758 1.000 -1.38189985342733e-01 2.49402616744182e+00 -3.06578654003549e-01 5.18022408541876e+00 C
0.810 0.754 1.000 -1.33925545773818e-01 2.48340322795766e+00 6.43105045410059e-01 5.22234715779932e+00 C
0.810 0.757 1.000 -1.36937722697299e-01 2.50614845471488e+00 -5.21062873215079e-01 5.19518814911910e+00 C
0.803 0.760 1.000 -1.34187531474102e-01 2.51273298521429e+00 1.12169233433751e+00 5.19371625119977e+00 C
0.801 0.755 1.000 -1.34238018593012e-01 2.51154074256817e+00 3.51158353870857e-01 5.18232791872758e+00 C
0.813 0.753 1.000 -1.34125543416889e-01 2.49769969027698e+00 -7.86787657953410e-01 5.20380463468459e+00 C
0.818 0.753 1.000 -1.34639737836882e-01 2.50662263281255e+00 3.52604789084402e-01 5.17266371188739e+00 C
0.811 0.759 1.000 -1.33934114100655e-01 2.49332521132307e+00 -9.51256397139706e-01 5.17981087800872e+00 C
0.808 0.754 1.000 -1.37950766878789e-01 2.51043111264331e+00 6.28941979514899e-02 5.16869275011683e+00 C
0.819 0.758 1.000 -1.36238068508449e-01 2.50425763751866e+00 1.80294599515798e-01 5.19612645084586e+00 C
0.818 0.756 1.000 -1.38289526003109e-01 2.49617531392629e+00 -4.75963894420960e-01 5.23519091251896e+00 C
0.805 0.756 1.000 -1.35422046523083e-01 2.50580725975171e+00 -6.84833596760778e-01 5.23043521980355e+00 C
0.819 0.755 1.000 -1.38095851832735e-01 2.50261429535485e+00 4.33500104193323e-01 5.21948934814463e+00 C
0.814 0.751 1.000 -1.33940054083621e-01 2.50791344786372e+00 -1.04407050362499e+00 5.22797612027299e+00 C
0.803 0.760 1.000 -1.37156040714496e-01 2.49412912581691e+00 -4.60908375498763e-01 5.21886122561151e+00 C
0.820 0.757 1.000 -1.36355361607367e-01 2.51763153978616e+00 -5.99252137283172e-01 5.21684549175629e+00 C
0.803 0.754 1.000 -1.33591960584092e-01 2.48209107437367e+00 -2.20115209878182e-01 5.20850615119270e+00 C
0.817 0.754 1.000 -1.37933722894051e-01 2.50424687237729e+00 2.99241235279081e-01 5.19133804762812e+00 C
0.801 0.759 1.000 -1.35691451064603e-01 2.49917594666963e+00 2.44120074438013e-01 5.16595992093401e+00 C
0.806 0.754 1.000 -1.37385188672104e-01 2.49676785988404e+00 -1.00131006870344e+00 5.16662338544575e+00 C
0.808 0.753 1.000 -1.37764847089825e-01 2.49370072660005e+00 1.64142134383870e-01 5.23774450470133e+00 C
0.806 0.755 1.000 -1.38285602909393e-01 2.48516070560720e+00 2.00846537480240e-01 5.18755229806919e+00 C
0.813 0.756 1.000 -1.34009189959367e-01 2.50409343573475e+00 -7.79929994004779e-01 5.17656346051266e+00 C
0.813 0.758 1.000 -1.36482526629548e-01 2.49029143749655e+00 -1.22904291055917e+00 5.21451597704932e+00 C
0.811 0.756 1.000 -1.34774885887829e-01 2.49665003918351e+00 1.52257050130953e-01 5.23585990195210e+00 C
0.805 0.755 1.000 -1.34707474551452e-01 2.49365911331267e+00 -3.56306321949007e-01 5.20961563589968e+00 C
0.814 0.752 1.000 -1.37894298843880e-01 2.49378429035841e+00 -7.16582347160577e-01 5.21326369407181e+00 C
0.807 0.755 1.000 -1.37633245178868e-01 2.50416193660998e+00 -5.43834509985822e-01 5.16718284391258e+00 C
0.817 0.760 1.000 -1.37469945531853e-01 2.48643237661873e+00 -6.34734528331976e-01 5.21967765037303e+00 C
0.813 0.760 1.000 -1.38385222536036e-01 2.50290252671212e+00 6.62877081232889e-01 5.19646881838721e+00 C
0.814 0.755 1.000 -1.36874022800850e-01 2.49108081262947e+00 -8.57517954946118e-01 5.21916474290635e+00 C
0.817 0.755 1.000 -1.35769575991010e-01 2.51890377211866e+00 6.84372762255859e-01 5.22199500788154e+00 C
0.806 0.758 1.000 -1.35710071751916e-01 2.51247753058510e+00 7.38186541394055e-01 5.22439473595685e+00 C
0.809 0.756 1.000 -1.34295298300884e-01 2.48514613208799e+00 -1.25119493505791e+00 5.22292967511059e+00 C
0.814 0.751 1.000 -1.37846789984398e-01 2.48068593887946e+00 1.31951194171016e+00 5.23284614713202e+00 D
0.817 0.754 1.000 -1.38396361019751e-01 2.48432998968866e+00 -4.31982253233459e-01 5.19918083389403e+00 C
0.804 0.759 1.000 -1.38352052058754e-01 2.51572900087213e+00 3.53797083895700e-01 5.16511391814888e+00 C
0.815 0.756 1.000 -1.34875873975648e-01 2.51575792422923e+00 1.32084541367153e+00 5.17478031072454e+00 D
0.800 0.754 1.000 -1.37931125134749e-01 2.48602678877250e+00 1.30991297199964e+00 5.20331136747492e+00 D
0.809 0.757 1.000 -1.34255649894393e-01 2.49696719164834e+00 9.18245200308864e-01 5.18479830475833e+00 C
0.804 0.757 1.000 -1.35126565810994e-01 2.49240330946543e+00 -4.01172584533815e-02 5.16999893497356e+00 C
0.818 0.754 1.000 -1.38187238903849e-01 2.49294760649678e+00 -1.01722851917169e+00 5.19851078873564e+00 C
0.819 0.760 1.000 -1.34839743358470e-01 2.50743167741711e+00 -2.04354829211951e-01 5.18822317839154e+00 C
0.815 0.753 1.000 -1.34990446611523e-01 2.51286272323656e+00 7.25494247506712e-01 5.17113195494873e+00 C
0.812 0.759 1.000 -1.37956072127716e-01 2.48768149924704e+00 6.59100760891334e-01 5.21738524120922e+00 C
0.802 0.754 1.000 -1.36710216177301e-01 2.51452608373249e+00 -9.32161547287686e-01 5.18123425750907e+00 C
0.816 0.755 1.000 -1.37815909980233e-01 2.48285799199729e+00 5.73484355491179e-01 5.22158681826830e+00 C
0.820 0.752 1.000 -1.37984724816301e-01 2.50645425089984e+00 6.42192060460231e-01 5.23107145802700e+00 C
0.819 0.753 1.000 -1.36203991503063e-01 2.51084274259073e+00 5.08816173361459e-01 5.16323139054288e+00 C
0.819 0.752 1.000 -1.36557147228681e-01 2.50894616559880e+00 1.25600723565534e+00 5.22671565751433e+00 D
0.809 0.759 1.000 -1.34753546099808e-01 2.49171383456213e+00 -2.42795983112356e-01 5.17693374325568e+00 C
0.806 0.756 1.000 -1.37827910598494e-01 2.48596939678900e+00 5.63548541631389e-01 5.16357426662788e+00 C
0.802 0.759 1.000 -1.36927297847903e-01 2.49327293155608e+00 1.67716698915698e-01 5.21626814700189e+00 C
0.806 0.756 1.000 -1.35200498162180e-01 2.48550638261579e+00 -8.03936959217696e-01 5.18733902822201e+00 C
0.816 0.751 1.000 -1.38112399359286e-01 2.51179683833577e+00 7.33068000148644e-01 5.19335212636285e+00 C
0.812 0.757 1.000 -1.33842971610337e-01 2.51789336847444e+00 -7.12451029514599e-01 5.22943229569611e+00 C
0.809 0.758 1.000 -1.38391348991786e-01 2.49108843776273e+00 1.11082329658856e+00 5.18152892775625e+00 C
0.815 0.759 1.000 -1.34010901009196e-01 2.49289032805044e+00 7.47480379934320e-01 5.16459417269449e+00 C
0.815 0.752 1.000 -1.35380276529111e-01 2.48810826243714e+00 -1.53398892590676e-01 5.18871980633990e+00 C
0.802 0.759 1.000 -1.33837539527869e-01 2.49089316674734e+00 1.10926219521419e+00 5.23139556828844e+00 C
0.804 0.754 1.000 -1.35202068983982e-01 2.50179041727268e+00 1.04042737762931e+00 5.23296807895355e+00 C
0.810 0.759 1.000 -1.34193981560851e-01 2.50064239977708e+00 1.26320655139040e+00 5.21287262588688e+00 D
0.814 0.757 1.000 -1.34094339171142e-01 2.51628432535199e+00 2.03523860626198e-01 5.18501550402812e+00 C
0.815 0.753 1.000 -1.37734932570969e-01 2.50813171607310e+00 -3.06307208929159e-01 5.23341140459108e+00 C
0.802 0.752 1.000 -1.35305997758621e-01 2.51179940571828e+00 -9.02014864250772e-01 5.21514946077153e+00 C
0.814 0.758 1.000 -1.33699403412870e-01 2.49703449194584e+00 -1.01529893834994e+00 5.22293794834529e+00 C
0.818 0.760 1.000 -1.38195599761912e-01 2.50760740773095e+00 1.46780163948636e-01 5.21650305260125e+00 C
0.818 0.755 1.000 -1.38350426469997e-01 2.50003457745718e+00 -1.10243600696614e-01 5.17563401697125e+00 C
0.814 0.759 1.000 -1.34723494214332e-01 2.51271447450012e+00 -1.07428420458546e+00 5.20598257717408e+00 C
0.802 0.754 1.000 -1.33699411156785e-01 2.48659730314407e+00 6.65859629608101e-01 5.22867868321061e+00 C
0.811 0.751 1.000 -1.38480531353961e-01 2.51294153843225e+00 4.52397637499906e-01 5.16379832808046e+00 C
0.807 0.755 1.000 -1.34354467310326e-01 2.51569358061248e+00 -9.22003912484577e-01 5.18395049649096e+00 C
0.801 0.754 1.000 -1.34979948488403e-01 2.50588224669796e+00 -3.35819241083897e-01 5.17864959952874e+00 C
0.804 0.758 1.000 -1.33955407514126e-01 2.50948570816026e+00 1.26910136223377e+00 5.21965618404599e+00 D
0.811 0.759 1.000 -1.36009377608730e-01 2.49202395788587e+00 -5.05620406836238e-01 5.22360908286457e+00 C
0.806 0.758 1.000 -1.37364760992120e-01 2.51569100697547e+00 5.86759037525263e-01 5.18130574116600e+00 C
0.801 0.755 1.000 -1.36543554741828e-01 2.48490171589064e+00 4.06617603312186e-01 5.20781502121768e+00 C
0.814 0.759 1.000 -1.35233507193476e-01 2.49084060723526e+00 1.15885098742008e+00 5.20093829212812e+00 C
0.804 0.754 1.000 -1.33936917527410e-01 2.51838333556725e+00 3.73310434561343e-01 5.16645131873092e+00 C
0.802 0.752 1.000 -1.38068654091009e-01 2.51800556817164e+00 1.02283428315634e+00 5.21116056393275e+00 C
0.800 0.752 1.000 -1.34124617458458e-01 2.50916511621942e+00 6.21459993492894e-01 5.16597258192579e+00 C
0.806 0.753 1.000 -1.37365134338454e-01 2.50831053284133e+00 1.23793204079550e+00 5.17090289614037e+00 D
0.814 0.754 1.000 -1.36363979564270e-01 2.50201658740604e+00 1.33063637974179e+00 5.19933749110644e+00 D
0.810 0.754 1.000 -1.38442461988203e-01 2.49028166473872e+00 1.14347845000396e+00 5.16415724120874e+00 D
0.816 0.758 1.000 -1.36099503848661e-01 2.51080012283684e+00 1.16781447352546e+00 5.18850702048847e+00 D
0.813 0.756 1.000 -1.38300922852351e-01 2.50497636962611e+00 1.31977472300075e+00 5.18715365319445e+00 D
0.818 0.758 1.000 -1.36159375895335e-01 2.50885963803970e+00 1.15965711719191e+00 5.20840297652970e+00 D
0.808 0.758 1.000 -1.35762494757845e-01 2.51259084494908e+00 1.30187407440910e+00 5.19476072927946e+00 D
0.809 0.757 1.000 -1.36740722881962e-01 2.50010622086124e+00 1.16746280146908e+00 5.16394567862862e+00 D
0.801 0.756 1.000 -1.37626954387478e-01 2.50951085736589e+00 1.32302567199535e+00 5.18287397650545e+00 D
0.801 0.752 1.000 -1.36155262565404e-01 2.51883609332246e+00 1.31477688769016e+00 5.18980423221435e+00 D
0.810 0.755 1.000 -1.35136582712556e-01 2.51836744472285e+00 1.30423148903886e+00 5.19850016932499e+00 D
0.813 0.756 1.000 -1.33936410283744e-01 2.48741756373221e+00 1.22392236136466e+00 5.21494051062308e+00 D
0.812 0.752 1.000 -1.36350771292177e-01 2.50391765925230e+00 1.26515428637100e+00 5.16253554153363e+00 D
0.816 0.754 1.000 -1.35043995805004e-01 2.48363486199610e+00 1.31326814922694e+00 5.20774952385887e+00 D
0.804 0.753 1.000 -1.37478000394846e-01 2.49502174925958e+00 1.19949055314377e+00 5.21597359384283e+00 D
0.815 0.758 1.000 -1.36407482854358e-01 2.49134150450708e+00 1.21093077107007e+00 5.17482661947028e+00 D
0.815 0.752 1.000 -1.35942498882731e-01 2.48398580840807e+00 1.32842670935229e+00 5.22573817048831e+00 D
0.811 0.754 1.000 -1.36418422495273e-01 2.49838139708611e+00 1.18988176285709e+00 5.18230118845170e+00 D
0.808 0.754 1.000 -1.37024507228752e-01 2.51464025281531e+00 1.28755233713060e+00 5.20924880881522e+00 D
0.819 0.759 1.000 -1.36283991560939e-01 2.48069714028445e+00 1.21364721108006e+00 5.17431686360535e+00 D
0.802 0.754 1.000 -1.34684164201914e-01 2.51078750037702e+00 1.28772983909505e+00 5.19719773387299e+00 D
0.802 0.751 1.000 -1.37107443511140e-01 2.48586731638015e+00 1.29355643873748e+00 5.16319962323081e+00 D
0.803 0.758 1.000 -1.34415999735798e-01 2.50276767830666e+00 1.31510193139267e+00 5.16943052862498e+00 D
0.804 0.752 1.000 -1.35306498589917e-01 2.48899192434192e+00 1.21348350584256e+00 5.22824710742308e+00 D
0.817 0.759 1.000 -1.34987468036526e-01 2.48218733304156e+00 1.30011653043642e+00 5.22165084998493e+00 D
0.804 0.758 1.000 -1.35367640143007e-01 2.49411303642802e+00 1.28224952799595e+00 5.23740965794901e+00 D
0.812 0.752 1.000 -1.37542093820824e-01 2.49983216708640e+00 1.24461404324171e+00 5.19304265025697e+00 D
0.806 0.753 1.000 -1.34888853233221e-01 2.48656132407411e+00 1.24280287090121e+00 5.23613167864549e+00 D
0.806 0.758 1.000 -1.37548528382901e-01 2.51485648232070e+00 1.31543392221428e+00 5.20518130013676e+00 D
0.805 0.756 1.000 -1.35360020585788e-01 2.51844375004548e+00 1.24538272175940e+00 5.21597469808113e+00 D
0.810 0.759 1.000 -1.33754521928010e-01 2.49874321174928e+00 1.26961314641256e+00 5.19210642537345e+00 D
0.808 0.757 1.000 -1.37296511035518e-01 2.51894859005272e+00 1.21491939020680e+00 5.17774677800840e+00 D
0.819 0.756 1.000 -1.36793373531410e-01 2.48707596295095e+00 1.16807359345590e+00 5.16885204062254e+00 D
0.801 0.757 1.000 -1.35244234584638e-01 2.48493481293651e+00 1.29131658037898e+00 5.21651606989663e+00 D
0.815 0.753 1.000 -1.34363726723976e-01 2.49195076843392e+00 1.33096779787504e+00 5.17933757088493e+00 D
0.815 0.754 1.000 -1.35782472324073e-01 2.51189918161107e+00 1.32602377207568e+00 5.22072852828836e+00 D
0.819 0.759 1.000 -1.34373683666672e-01 2.48484830095617e+00 1.19668788933475e+00 5.23075370024724e+00 D
0.802 0.754 1.000 -1.34079940561963e-01 2.51959989550337e+00 1.17518459473752e+00 5.23039174643099e+00 D
0.810 0.754 1.000 -1.33827166051464e-01 2.49738446851267e+00 1.21483995011240e+00 5.19446591896841e+00 D
0.818 0.757 1.000 -1.36559768005942e-01 2.51386286684160e+00 1.33072290363679e+00 5.16565772264633e+00 D
0.815 0.754 1.000 -1.38451251204950e-01 2.50340319661987e+00 1.14932359705366e+00 5.21390972641427e+00 D
0.805 0.758 1.000 -1.34692050632983e-01 2.51844358122760e+00 1.27559452147587e+00 5.18282304042850e+00 D
0.816 0.752 1.000 -1.36987180051445e-01 2.50329066431940e+00 1.16409027604431e+00 5.17268787800894e+00 D
0.815 0.753 1.000 -1.38061065438981e-01 2.50801995325316e+00 1.20457831806981e+00 5.19893206133334e+00 D
0.812 0.759 1.000 -1.38244083858009e-01 2.51563677949207e+00 1.31675000297258e+00 5.19260647146859e+00 D
0.801 0.759 1.000 -1.38313841250571e-01 2.48058454772563e+00 1.20560447690888e+00 5.18644365120902e+00 D
0.805 0.753 1.000 -1.33819967823569e-01 2.48226299167956e+00 1.27819294375454e+00 5.22816521573860e+00 D
0.805 0.754 1.000 -1.37733958137986e-01 2.49866407280425e+00 1.16525624365818e+00 5.23716366486016e+00 D
0.811 0.760 1.000 -1.34739452904080e-01 2.48210112805401e+00 1.32040805077478e+00 5.23571970240230e+00 D
0.810 0.758 1.000 -1.37074246281604e-01 2.51936338714376e+00 1.20084061720049e+00 5.22512415714698e+00 D
0.817 0.759 1.000 -1.34971981979377e-01 2.51870144697263e+00 1.27813674851193e+00 5.19469509040090e+00 D
0.800 0.756 1.000 -1.36963476446500e-01 2.49238802059352e+00 1.33192294233648e+00 5.17907501416690e+00 D
0.805 0.756 1.000 -1.35166004099934e-01 2.51381238817135e+00 1.25703580969830e+00 5.19503812797514e+00 D
0.805 0.756 1.000 -1.33648013668654e-01 2.51572483262911e+00 1.25139583320134e+00 5.21956516502966e+00 D
0.809 0.757 1.000 -1.37412704560053e-01 2.49281212765896e+00 1.24018607052269e+00 5.16785666126224e+00 D
0.810 0.755 1.000 -1.36964457470233e-01 2.51597767699764e+00 1.32525734278956e+00 5.16439125654408e+00 D
0.805 0.751 1.000 -1.37419258467014e-01 2.50339767338549e+00 1.19573983504748e+00 5.21932810573442e+00 D
0.807 0.756 1.000 -1.34247111868304e-01 2.51981846170419e+00 1.33143587266909e+00 5.22146322387793e+00 D
0.807 0.757 1.000 -1.35992250787875e-01 2.51619395776487e+00 1.25006103096783e+00 5.16270622517657e+00 D
0.807 0.754 1.000 -1.33774495502866e-01 2.48692732617997e+00 1.27515070065552e+00 5.22840741515239e+00 D
0.811 0.755 1.000 -1.36937481250974e-01 2.51707805845509e+00 1.24588374762190e+00 5.23588462474014e+00 D
0.813 0.760 1.000 -1.35306839995671e-01 2.51749816887312e+00 1.21539733209982e+00 5.19266202236615e+00 D
0.809 0.753 1.000 -1.36418902133403e-01 2.48644430144894e+00 1.31481317595714e+00 5.20780790037656e+00 D
0.820 0.754 1.000 -1.37672814508696e-01 2.50454382146973e+00 1.28485414789414e+00 5.22492530300032e+00 D
0.816 0.756 1.000 -1.37594794273478e-01 2.51636736001934e+00 1.23523674039531e+00 5.20131783208326e+00 D
0.807 0.757 1.000 -1.35980384563328e-01 2.49291257029987e+00 1.17444555029623e+00 5.17955116387933e+00 D
0.813 0.759 1.000 -1.37394784111215e-01 2.49664343716994e+00 1.16670155541823e+00 5.17509107248997e+00 D
0.802 0.760 1.000 -1.36835235626640e-01 2.51630817604964e+00 1.32042857227898e+00 5.19496780724536e+00 D
0.811 0.759 1.000 -1.36699598048335e-01 2.51159893787845e+00 1.30980107387889e+00 5.19591276824095e+00 D
0.819 0.758 1.000 -1.37821335698537e-01 2.50877127538790e+00 1.22324408491904e+00 5.18403523405376e+00 D
0.816 0.754 1.000 -1.33873770086155e-01 2.51951702065687e+00 1.17131740719047e+00 5.20633627196972e+00 D
0.813 0.754 1.000 -1.36935344299609e-01 2.49262042049580e+00 1.17231641057825e+00 5.22085447587486e+00 D
0.816 0.752 1.000 -1.37037437014396e-01 2.50487508705557e+00 1.21239784652397e+00 5.16470775613776e+00 D
0.812 0.757 1.000 -1.35997566004707e-01 2.51520613874400e+00 1.24771932226557e+00 5.21178702931777e+00 D
0.814 0.756 1.000 -1.34479626293102e-01 2.49276565269568e+00 1.25663562889307e+00 5.19867048379031e+00 D
0.818 0.754 1.000 -1.36503322057533e-01 2.50609502870609e+00 1.26457744575382e+00 5.19652999850628e+00 D
0.820 0.752 1.000 -1.36555333315099e-01 2.50960553460703e+00 1.27505889064443e+00 5.18623046549169e+00 D
0.805 0.756 1.000 -1.35981426110164e-01 2.50740059010287e+00 1.20301112005007e+00 5.23451859068118e+00 D
0.801 0.753 1.000 -1.34297239408748e-01 2.50867298295555e+00 1.25034899306158e+00 5.20858045379513e+00 D
0.803 0.752 1.000 -1.35938036775148e-01 2.49377000374099e+00 1.25281613743279e+00 5.21658654337923e+00 D
0.805 0.758 1.000 -1.38141630698267e-01 2.48024439765674e+00 1.27864642234093e+00 5.17144142761600e+00 D
0.807 0.755 1.000 -1.37965395041257e-01 2.50208851874585e+00 1.19313512065957e+00 5.22916960757109e+00 D
0.804 0.754 1.000 -1.38352245607325e-01 2.51947260397830e+00 1.22880537673997e+00 5.16678044491538e+00 D
0.810 0.757 1.000 -1.35833806645883e-01 2.48499554596218e+00 1.31895662073853e+00 5.21105940507249e+00 D
0.809 0.759 1.000 -1.33757393314168e-01 2.48521058986660e+00 1.27554986353415e+00 5.19648560965814e+00 D
0.809 0.752 1.000 -1.36975628008897e-01 2.51018569556928e+00 1.32035947211544e+00 5.18093534604708e+00 D
0.812 0.758 1.000 -1.37076670810983e-01 2.50816567920286e+00 1.32267858997075e+00 5.20054122703191e+00 D
0.810 0.760 1.000 -1.37840878636469e-01 2.49150947030474e+00 1.21220167941165e+00 5.22004729846829e+00 D
0.805 0.756 1.000 -1.37403082027369e-01 2.51339470816346e+00 1.24928215214514e+00 5.21021443296764e+00 D
0.805 0.755 1.000 -1.37107447554183e-01 2.48310806038229e+00 1.24251312750619e+00 5.18460413452527e+00 D
0.816 0.753 1.000 -1.35780292777976e-01 2.49395589279511e+00 1.23027406765369e+00 5.22624152854173e+00 D
0.820 0.751 1.000 -1.36591402017403e-01 2.48790564205713e+00 1.26185811657488e+00 5.20894533294447e+00 D
0.800 0.756 1.000 -1.35024519775613e-01 2.51505829297841e+00 3.16396261593079e-01 5.16008719949432e+00 S
0.800 0.757 1.000 -1.35376540534651e-01 2.51136735274534e+00 3.17332431678825e-01 5.17322770806750e+00 S
0.800 0.758 1.000 -1.35718039407005e-01 2.50779238961127e+00 3.18186340957574e-01 5.18552170084142e+00 S
0.800 0.759 1.000 -1.36050830203645e-01 2.50431460626098e+00 3.18971326864661e-01 5.19710578557066e+00 S
0.800 0.760 1.000 -1.36376269480959e-01 2.50091992243202e+00 3.19697428107539e-01 5.20808273812712e+00 S
0.801 0.755 1.000 -1.35218439505543e-01 2.51186061422333e+00 3.17094257375231e-01 5.16049986561680e+00 S
0.801 0.756 1.000 -1.35574805408632e-01 2.50813493361104e+00 3.18052518535137e-01 5.17389117177731e+00 S
0.801 0.757 1.000 -1.35920141137299e-01 2.50453011101499e+00 3.18924793379975e-01 5.18639714035365e+00 S
0.801 0.758 1.000 -1.36256396400532e-01 2.50102602287062e+00 3.19725387126220e-01 5.19816441662559e+00 S
0.801 0.759 1.000 -1.36585018327404e-01 2.49760770999171e+00 3.20464984716753e-01 5.20930248551690e+00 S
0.801 0.760 1.000 -1.36907114850477e-01 2.49426370145366e+00 3.21151820124019e-01 5.21989568155249e+00 S
0.803 0.754 1.000 -1.35960524563382e-01 2.50181024129177e+00 3.19476578752318e-01 5.17497973301483e+00 S
0.803 0.755 1.000 -1.36313873661564e-01 2.49814257274195e+00 3.20388190779446e-01 5.18793748123369e+00 S
0.803 0.756 1.000 -1.36657308809256e-01 2.49458357913650e+00 3.21221979149956e-01 5.20009238346738e+00 S
0.803 0.757 1.000 -1.36992486301409e-01 2.49111627680951e+00 3.21990118638419e-01 5.21156940462060e+00 S
0.803 0.758 1.000 -1.37320657601831e-01 2.48772781325486e+00 3.22701867522432e-01 5.22246353237068e+00 S
0.805 0.753 1.000 -1.36693442645153e-01 2.49193763661980e+00 3.21832144888136e-01 5.18918103768367e+00 S
0.805 0.754 1.000 -1.37044438476458e-01 2.48832025296654e+00 3.22702093955021e-01 5.20175538078860e+00 S
0.805 0.755 1.000 -1.37386457617748e-01 2.48480135615866e+00 3.23501071881555e-01 5.21359611904218e+00 S
0.805 0.756 1.000 -1.37720923338323e-01 2.48136644540847e+00 3.24239560275763e-01 5.22481097733998e+00 S
0.805 0.757 1.000 -1.38048927968284e-01 2.47800437406891e+00 3.24925656283796e-01 5.23548313815067e+00 S
0.807 0.751 1.000 -1.37058571255713e-01 2.48591556118190e+00 3.23254686168239e-01 5.19010584448645e+00 S
0.807 0.752 1.000 -1.37417574873032e-01 2.48223569729815e+00 3.24164230583871e-01 5.20313643737793e+00 S
0.807 0.753 1.000 -1.37766767440692e-01 2.47866218465431e+00 3.24996668086773e-01 5.21536913127280e+00 S
0.807 0.754 1.000 -1.38107779964852e-01 2.47517853614023e+00 3.25763956100508e-01 5.22692703435566e+00 S
0.807 0.755 1.000 -1.38441847802675e-01 2.47177224458580e+00 3.26475209883307e-01 5.23790395158023e+00 S
0.807 0.756 1.000 -1.38769932248552e-01 2.46843356192075e+00 3.27137569772649e-01 5.24837333250210e+00 S
0.808 0.751 1.000 -1.37598821295883e-01 2.47926044436021e+00 3.24888024870511e-01 5.20371525174241e+00 S
0.808 0.752 1.000 -1.37951741852859e-01 2.47565833778836e+00 3.25738294468580e-01 5.21615579012670e+00 S
0.808 0.753 1.000 -1.38296134325577e-01 2.47214935352364e+00 3.26520839614104e-01 5.22789449425631e+00 S
0.808 0.754 1.000 -1.38633315810287e-01 2.46872020872740e+00 3.27245356438898e-01 5.23903123470777e+00 S
0.808 0.755 1.000 -1.38964305300867e-01 2.46536061054653e+00 3.27919396129039e-01 5.24964375526400e+00 S
0.809 0.750 1.000 -1.37776475657200e-01 2.47632991621490e+00 3.25606652212052e-01 5.20421603297336e+00 S
0.809 0.751 1.000 -1.38133228815798e-01 2.47269826401347e+00 3.26475562421818e-01 5.21687311469400e+00 S
0.809 0.752 1.000 -1.38481079530135e-01 2.46916323384602e+00 3.27273987813144e-01 5.22879935949085e+00 S
